Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
AuthoraCare Collective,NC,Healthcare Provider,57944,11/19/2024,Unauthorized Access/Disclosure,Network Server,No,
Athens County Bd of Dev. Disabilities ,OH,Healthcare Provider,3100,11/19/2024,Hacking/IT Incident,Network Server,No,
"The Arbors Operator, LLC",IN,Healthcare Provider,2808,11/18/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Terrace of Hialeah,FL,Healthcare Provider,1177,11/18/2024,Hacking/IT Incident,Network Server,Yes,
"Dolton Nursing & Rehab, LLC",IL,Healthcare Provider,1559,11/18/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
"Berkshire Nursing & Rehab Center, LLC",IL,Healthcare Provider,4237,11/18/2024,Hacking/IT Incident,Network Server,Yes,
"Aperion Care Marseilles, LLC",IL,Healthcare Provider,1052,11/18/2024,Hacking/IT Incident,Network Server,Yes,
Villa St. Francis Catholic Care Center,KS,Healthcare Provider,2522,11/18/2024,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"HealthFund Solutions, LLC",FL,Business Associate,5198,11/15/2024,Hacking/IT Incident,Email,Yes,
"ESHA, Inc.",TX,Business Associate,76922,11/15/2024,Hacking/IT Incident,Network Server,Yes,
"Equinox, Inc. ",NY,Healthcare Provider,21565,11/15/2024,Hacking/IT Incident,Network Server,No,
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Women’s Health (collectively, “the Practices”)",NY,Healthcare Provider,501,11/15/2024,Hacking/IT Incident,Network Server,No,
"athenahealth, Inc.",MA,Business Associate,1974,11/15/2024,Unauthorized Access/Disclosure,Network Server,Yes,
VPS of MI PLLC,MI,Healthcare Provider,20604,11/15/2024,Hacking/IT Incident,Network Server,No,
ASPEN HEALTHCARE SERVICES INC,TX,Healthcare Provider,7195,11/15/2024,Hacking/IT Incident,Electronic Medical Record,No,
"TriHealth H, LLC d/b/a TriHealth Physician Partners (“TriHealth”)",OH,Healthcare Provider,36753,11/14/2024,Hacking/IT Incident,Electronic Medical Record,Yes,
Western Montana Mental Health Center,MT,Healthcare Provider,500,11/14/2024,Hacking/IT Incident,Network Server,No,
Physicians' Primary Care of Southwest Florida,FL,Healthcare Provider,500,11/14/2024,Hacking/IT Incident,Network Server,No,
"Hopscotch Health Management, LLC",IL,Business Associate,4945,11/14/2024,Theft,Paper/Films,Yes,
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,NC,Healthcare Provider,777,11/14/2024,Hacking/IT Incident,Email,Yes,
"Liberty Endo, LLC",NY,Healthcare Provider,942,11/13/2024,Hacking/IT Incident,Email,No,
Rocky Mountain Gastroenterology Associates PLLC ,CO,Healthcare Provider,366491,11/13/2024,Hacking/IT Incident,Network Server,No,
"Radiologic Medical Services, P.C.",IA,Healthcare Provider,56902,11/12/2024,Hacking/IT Incident,Email,No,
Familylinks Inc.,PA,Healthcare Provider,3775,11/12/2024,Hacking/IT Incident,Email,No,
Humboldt Independent Practice Association (Humboldt IPA),CA,Healthcare Provider,500,11/11/2024,Hacking/IT Incident,Email,No,
"United Seating and Mobility, LLC dba Numotion",TN,Healthcare Provider,2319,11/11/2024,Hacking/IT Incident,Email,No,
Mid-Minnesota Management Services d/b/a Central Resources,IL,Business Associate,1232,11/08/2024,Unauthorized Access/Disclosure,Other,Yes,
Huron Inc. Health Plan,MI,Health Plan,750,11/08/2024,Unauthorized Access/Disclosure,Network Server,No,
Massachusetts Department of Developmental Services,MA,Healthcare Provider,3800,11/08/2024,Hacking/IT Incident,Email,No,
Michigan Masonic Home,MI,Healthcare Provider,500,11/08/2024,Hacking/IT Incident,Email,No,
"South West Family Medicine Associates, PA ",TX,Healthcare Provider,36959,11/07/2024,Hacking/IT Incident,Network Server,No,
Great Plains Regional Medical Center,OK,Healthcare Provider,133149,11/07/2024,Hacking/IT Incident,Network Server,No,
MDLand International Corporation ,NY,Business Associate,63052,11/07/2024,Hacking/IT Incident,Electronic Medical Record,Yes,
"Orthopedics Rhode Island, Inc. ",CT,Healthcare Provider,500,11/06/2024,Hacking/IT Incident,Network Server,No,
Oklahoma Spine Hospital,OK,Healthcare Provider,38945,11/05/2024,Unauthorized Access/Disclosure,Email,No,
Planned Parenthood of Montana,MT,Healthcare Provider,18003,11/05/2024,Hacking/IT Incident,Network Server,No,
Thompson Coburn LLP,MO,Business Associate,305088,11/04/2024,Hacking/IT Incident,Network Server,Yes,
"Mohawk Valley Cardiology, P.C.",NY,Healthcare Provider,4973,11/04/2024,Unauthorized Access/Disclosure,Other,No,
Mid-Ohio Psychological Services Inc.,OH,Healthcare Provider,40345,11/01/2024,Unauthorized Access/Disclosure,Network Server,No,
Brunswick Hospital Center,NY,Healthcare Provider,500,11/01/2024,Hacking/IT Incident,Network Server,No,
"Northeast Professional Home Care, Inc.",OH,Healthcare Provider,648,11/01/2024,Hacking/IT Incident,Email,No,
"Brain & Eye Connection Vision Clinic, PC",OK,Healthcare Provider,2207,11/01/2024,Hacking/IT Incident,Network Server,No,
Kaiser Foundation Hospitals,CA,Healthcare Provider,44600,11/01/2024,Hacking/IT Incident,Email,No,
"Potomac Medical Aesthetics, LLC",MD,Healthcare Provider,2876,11/01/2024,Unauthorized Access/Disclosure,Email,No,
Rockford Gastroenterology Associates ,IL,Healthcare Provider,147253,10/30/2024,Hacking/IT Incident,Network Server,No,
Family Medical Center,MD,Healthcare Provider,2100,10/29/2024,Hacking/IT Incident,Network Server,No,
Boatright Inc.,IN,Healthcare Provider,750,10/29/2024,Hacking/IT Incident,Email,No,
BrightStar Care,IL,Healthcare Provider,1187,10/28/2024,Hacking/IT Incident,Email,No,
"The Physical Medicine & Rehabilitation Center, P.A.",NJ,Healthcare Provider,4083,10/28/2024,Hacking/IT Incident,Network Server,No,
"Mystic Valley Elder Services, CE",MA,Business Associate,85133,10/28/2024,Hacking/IT Incident,Network Server,No,
North Texas Medical Specialists ,TX,Healthcare Provider,994,10/28/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Oregon Reproductive Medicine, LLC d/b/a ORM Fertility",NY,Healthcare Provider,500,10/25/2024,Hacking/IT Incident,Network Server,No,
Native Village of Eyak Ilanka Community Health Center,AK,Healthcare Provider,512,10/25/2024,Hacking/IT Incident,Network Server,Yes,
"Hawaii Radiologic Associates, Ltd. ",HI,Healthcare Provider,23205,10/25/2024,Hacking/IT Incident,Network Server,No,
St. Anthony Regional Hospital,IA,Healthcare Provider,501,10/25/2024,Hacking/IT Incident,Network Server,No,
Easterseals Rehabilitation Center Evansville,IN,Healthcare Provider,8394,10/25/2024,Hacking/IT Incident,Network Server,No,
Quest Diagnostics Incorporated,NJ,Healthcare Provider,1062,10/25/2024,Unauthorized Access/Disclosure,Network Server,No,
Riverview Health,IN,Healthcare Provider,1562,10/25/2024,Hacking/IT Incident,Network Server,No,
"GPS Sango Family Dentistry, PLLC d/b/a Sango Family Dentistry",TN,Healthcare Provider,27000,10/24/2024,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
Gandara Mental Health Center ,MA,Healthcare Provider,20024,10/24/2024,Hacking/IT Incident,Network Server,No,
"Northeast Spine and Sports Medicine, LLC",NJ,Healthcare Provider,6300,10/24/2024,Hacking/IT Incident,Network Server,No,
Positive Behavior Supports Corporation,FL,Healthcare Provider,2247,10/24/2024,Hacking/IT Incident,Network Server,No,
Mystic Valley Elder Services - Business Associate,MA,Business Associate,2402,10/22/2024,Hacking/IT Incident,Network Server,Yes,
Arkansas Blue Cross and Blue Shield,AR,Health Plan,633,10/22/2024,Hacking/IT Incident,Network Server,Yes,
Smiles in the Pines,NC,Healthcare Provider,1800,10/21/2024,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Email, Other Portable Electronic Device, Paper/Films",No,
Clay Platte Family Medicine,MO,Healthcare Provider,53916,10/18/2024,Hacking/IT Incident,Network Server,No,
"Advanced Recovery Equipment & Supplies, LLC",NY,Healthcare Provider,56000,10/18/2024,Hacking/IT Incident,Network Server,No,
Detroit Wayne Integrated Health Network,MI,Healthcare Provider,3347,10/18/2024,Hacking/IT Incident,Laptop,No,
RRCA Accounts Management Inc.,IL,Business Associate,115837,10/18/2024,Hacking/IT Incident,"Desktop Computer, Network Server",Yes,
"Summit Pathology and Summit Pathology Laboratories, Inc.",CO,Healthcare Provider,1813538,10/18/2024,Hacking/IT Incident,Network Server,No,
Chicago Cardiology Institute,IL,Healthcare Provider,2743,10/18/2024,Hacking/IT Incident,Email,No,
"Valleygate Dental Surgery Centers of Charlotte, Fayetteville, and the West, LLC.",NC,Healthcare Provider,14589,10/17/2024,Hacking/IT Incident,Network Server,No,
Jacksonville Children's Multispecialty Clinics/Atlantic Medical Management ,NC,Healthcare Provider,2224,10/17/2024,Unauthorized Access/Disclosure,Email,No,
Sarah Bush Lincoln Fayette County Hospital,IL,Healthcare Provider,4845,10/16/2024,Hacking/IT Incident,Email,No,
Tri County Medical Supply And Respiratory Services Inc.,AR,Healthcare Provider,8000,10/16/2024,Improper Disposal,Paper/Films,No,
Center for Urban Community Services,NY,Business Associate,38000,10/11/2024,Hacking/IT Incident,Network Server,Yes,
"Ad Valorem Records, Inc. ",TN,Business Associate,590,10/11/2024,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Cheasapeake Regional Information System for our Patients, Inc. (CRISP)",MD,Business Associate,8008,10/11/2024,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
miCare Health Center ,MT,Healthcare Provider,2766,10/11/2024,Hacking/IT Incident,Email,No,
"Gryphon Healthcare, LLC",TX,Business Associate,393358,10/11/2024,Hacking/IT Incident,Network Server,Yes,
Tower Clock Eye Center,WI,Healthcare Provider,10737,10/10/2024,Hacking/IT Incident,Email,No,
"Visionworks of America, Inc. ",TX,Healthcare Provider,39825,10/10/2024,Hacking/IT Incident,Email,No,
"Wellfleet Group, LLC",MA,Business Associate,22959,10/08/2024,Unauthorized Access/Disclosure,Network Server,Yes,
"DMEscripts, LLC",IN,Business Associate,9993,10/08/2024,Hacking/IT Incident,Email,Yes,
"TheraCom, L.L.C.",PA,Healthcare Provider,9271,10/08/2024,Hacking/IT Incident,Network Server,No,
Smile Design Management LLC,FL,Healthcare Provider,500,10/07/2024,Hacking/IT Incident,Network Server,No,
Schneider Regional Medical Center,,Healthcare Provider,1570,10/07/2024,Hacking/IT Incident,Network Server,No,
"Dohman, Akerlund & Eddy",NE,Business Associate,9941,10/07/2024,Hacking/IT Incident,Network Server,Yes,
University of Minnesota Board of Regents,MN,Healthcare Provider,1331,10/07/2024,Hacking/IT Incident,Email,No,
"Ciox Health LLC, d/b/a Datavant Group",AZ,Business Associate,22897,10/07/2024,Hacking/IT Incident,Email,Yes,
"ATSG, Inc",NY,Business Associate,909469,10/04/2024,Hacking/IT Incident,Network Server,Yes,
"General Physician, P.C.",NY,Healthcare Provider,501,10/04/2024,Hacking/IT Incident,Email,No,
Bayhealth Medical Center,DE,Healthcare Provider,500,10/04/2024,Hacking/IT Incident,Network Server,No,
"Easter Seals DC | MD | VA, Inc.",MD,Healthcare Provider,584,10/04/2024,Hacking/IT Incident,Email,No,
Omni Family Health,CA,Healthcare Provider,468344,10/04/2024,Hacking/IT Incident,Network Server,No,
"Dr. Daniel J. Leeman, M.D.",TX,Healthcare Provider,50000,10/04/2024,Hacking/IT Incident,Network Server,No,
"Long Island Plastic Surgical Group, P.C.",NY,Healthcare Provider,161707,10/04/2024,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,1915,10/01/2024,Unauthorized Access/Disclosure,Laptop,No,
Connally Memorial Medical Center ,TX,Health Plan,1228,09/30/2024,Hacking/IT Incident,Email,No,
Hafetz and Associates ,NJ,Business Associate,26474,09/27/2024,Hacking/IT Incident,Email,Yes,
 CF Medical,GA,Business Associate,242200,09/26/2024,Hacking/IT Incident,Network Server,Yes,
"Texas Spine Consultants, PLLC ",TX,Healthcare Provider,8048,09/26/2024,Hacking/IT Incident,Email,No,
"Community Clinic of Maui, Inc. dba Malama I Ke Ola Health Center",HI,Healthcare Provider,123816,09/26/2024,Hacking/IT Incident,Network Server,No,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,57891,09/26/2024,Hacking/IT Incident,Email,No,
Prentke Romich Company dba PRC-Saltillo,OH,Healthcare Provider,51627,09/25/2024,Hacking/IT Incident,Network Server,No,
"DAP Health, Inc. ",CA,Healthcare Provider,129048,09/24/2024,Hacking/IT Incident,Email,No,
Holistix Treatment Center LLC d/b/a We Level Up Treatment Lake Worth,FL,Healthcare Provider,6567,09/24/2024,Hacking/IT Incident,Network Server,No,
UT Southwestern Medical Center,TX,Healthcare Provider,778,09/24/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Asheville Arthritis and Osteoporosis Center, P.A.",NC,Healthcare Provider,58251,09/20/2024,Hacking/IT Incident,Network Server,No,
Muskogee City County Enhanced 911 Trust Authority,OK,Business Associate,180000,09/20/2024,Hacking/IT Incident,Network Server,Yes,
"Jacobsen Construction Co., Inc. Health Plan",UT,Health Plan,2127,09/20/2024,Hacking/IT Incident,Network Server,No,
Jefferson PA Heart and Vascular,PA,Healthcare Provider,755,09/18/2024,Unauthorized Access/Disclosure,Paper/Films,No,
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",MS,Healthcare Provider,7162,09/17/2024,Hacking/IT Incident,Email,No,
Rim Country Health and Rehabilitation ,AZ,Healthcare Provider,721,09/16/2024,Hacking/IT Incident,Email,No,
"ERLC LLC, d/b/a Elitecare Emergency Hospital",TX,Healthcare Provider,24754,09/16/2024,Hacking/IT Incident,Network Server,No,
Michigan Masonic Home,MI,Healthcare Provider,500,09/16/2024,Hacking/IT Incident,Email,No,
JTaylor & Associates LLC ,TX,Business Associate,22315,09/16/2024,Hacking/IT Incident,Email,Yes,
La Liga Puertorriquena Contra El Cancer DBA Hospital Oncológico,,Healthcare Provider,4590,09/16/2024,Unauthorized Access/Disclosure,Email,No,
Maryville Academy,IL,Healthcare Provider,500,09/13/2024,Hacking/IT Incident,Network Server,No,
Atrium Health,NC,Healthcare Provider,32120,09/13/2024,Hacking/IT Incident,Email,No,
Young Consulting LLC,GA,Business Associate,954177,09/11/2024,Hacking/IT Incident,Network Server,Yes,
Local 1964 ILA Health & Insurance Fund,NJ,Health Plan,2059,09/10/2024,Hacking/IT Incident,Network Server,No,
"Richland County, WI",WI,Healthcare Provider,76365,09/09/2024,Hacking/IT Incident,Network Server,No,
Millinocket Regional Hospital,ME,Healthcare Provider,813,09/09/2024,Hacking/IT Incident,Network Server,No,
"Nationwide Recovery Services, Inc.",GA,Business Associate,501,09/09/2024,Hacking/IT Incident,Network Server,Yes,
oficina medica,,Healthcare Provider,2618,09/08/2024,Theft,"Desktop Computer, Other Portable Electronic Device",No,
Welcome Health,CA,Healthcare Provider,597,09/06/2024,Hacking/IT Incident,Email,No,
Seneca Nation Health System,NY,Healthcare Provider,7633,09/06/2024,Hacking/IT Incident,Network Server,No,
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,2334,09/05/2024,Hacking/IT Incident,Network Server,No,
Project Hospitality,NY,Healthcare Provider,1864,09/04/2024,Hacking/IT Incident,Network Server,No,
Premier Health Family Care – North and Premier Health Family Care of Vandalia,OH,Healthcare Provider,3092,09/03/2024,Unauthorized Access/Disclosure,Paper/Films,No,
"Service Access & Management, Inc.",PA,Healthcare Provider,501,09/02/2024,Hacking/IT Incident,Network Server,No,
Washoe County School District,NV,Health Plan,1017,08/30/2024,Unauthorized Access/Disclosure,Network Server,Yes,
"EngageMED, Inc ",AR,Business Associate,500,08/30/2024,Hacking/IT Incident,Network Server,Yes,
Baptist Health Medical Center Drew County,AR,Healthcare Provider,5207,08/30/2024,Hacking/IT Incident,Network Server,No,
Catholic Charities CYO of The Archdiocese of San Francisco,CA,Healthcare Provider,7168,08/30/2024,Hacking/IT Incident,Network Server,No,
Minnesota Department of Human Services,MN,Healthcare Provider,4329,08/30/2024,Hacking/IT Incident,Email,No,
"Illinois Bone & Joint Institute, LLC",IL,Healthcare Provider,665321,08/30/2024,Hacking/IT Incident,Network Server,No,
Mount Carmel Behavioral Health ,OH,Healthcare Provider,500,08/30/2024,Hacking/IT Incident,Email,No,
Goodwin Living Incorporated ,VA,Healthcare Provider,7170,08/29/2024,Hacking/IT Incident,Email,No,
"CBIZ Benefits & Insurance Services, Inc.",OH,Business Associate,9103,08/28/2024,Hacking/IT Incident,Network Server,Yes,
"CODAC Inc dba CODAC Behavioral Health and CODAC Healthcare, LLC",RI,Healthcare Provider,9592,08/27/2024,Hacking/IT Incident,Network Server,No,
Blue Cross and Blue Shield of North Carolina,NC,Business Associate,972,08/27/2024,Hacking/IT Incident,Network Server,Yes,
Roper St. Francis Healthcare,SC,Healthcare Provider,4125,08/26/2024,Unauthorized Access/Disclosure,Paper/Films,No,
Compass Healthcare & Rehab Rowan LLC,NC,Healthcare Provider,1381,08/26/2024,Hacking/IT Incident,Email,No,
Florida Department of Health ,FL,Healthcare Provider,729699,08/23/2024,Hacking/IT Incident,Network Server,No,
Pomona Community Health Center dba ParkTree Community Health Center,CA,Healthcare Provider,40964,08/21/2024,Hacking/IT Incident,Network Server,No,
"Excelsior Orthopaedics, LLC",NY,Healthcare Provider,292913,08/21/2024,Hacking/IT Incident,Network Server,No,
"VeriSource Services, Inc.",TX,Business Associate,112726,08/20/2024,Hacking/IT Incident,Network Server,Yes,
"Acadian Ambulance Service, Inc. ",LA,Healthcare Provider,2896985,08/20/2024,Hacking/IT Incident,Network Server,No,
"Contents Trader, Inc.",TX,Healthcare Provider,27329,08/20/2024,Unauthorized Access/Disclosure,Network Server,No,
"Advanced Medical Management, LLC",KS,Healthcare Provider,2815,08/19/2024,Hacking/IT Incident,Email,No,
"Connecticut GI, PLLC",CT,Healthcare Provider,46354,08/19/2024,Hacking/IT Incident,Network Server,No,
Mid-Columbia Center for Living,OR,Healthcare Provider,4435,08/19/2024,Hacking/IT Incident,Email,No,
"HAH Group Holding Company, LLC d/b/a “Help At Home""",IL,Healthcare Provider,26744,08/18/2024,Hacking/IT Incident,Network Server,Yes,
"Kerber, Eck & Braeckel LLP",IL,Business Associate,134918,08/16/2024,Hacking/IT Incident,Network Server,Yes,
Behavioral Health Alliance of Rural Pennsylvania ,PA,Health Plan,642,08/16/2024,Hacking/IT Incident,Email,No,
"Specialty Networks, Inc. ",TN,Business Associate,411037,08/15/2024,Hacking/IT Incident,Network Server,Yes,
Carespring Health Care Management LLC,OH,Healthcare Provider,64609,08/15/2024,Hacking/IT Incident,Network Server,No,
Fairfield Memorial Hospital Association,IL,Healthcare Provider,25093,08/15/2024,Hacking/IT Incident,Network Server,No,
United Urology Group,MD,Business Associate,10704,08/14/2024,Hacking/IT Incident,Network Server,Yes,
siParadigm LLC,NJ,Healthcare Provider,501,08/09/2024,Hacking/IT Incident,Network Server,No,
"Turning Point of Central California, Inc.",CA,Healthcare Provider,500,08/09/2024,Hacking/IT Incident,Network Server,No,
Monte Nido,FL,Healthcare Provider,41662,08/09/2024,Hacking/IT Incident,Network Server,No,
"HealthEquity, Inc.",UT,Business Associate,4300000,08/09/2024,Hacking/IT Incident,Network Server,Yes,
"Gramercy Surgery Center, Inc.",NY,Healthcare Provider,50554,08/09/2024,Hacking/IT Incident,Network Server,No,
"Dental Specialists of Minnesota, PLLC dba The Dental Specialists",MN,Healthcare Provider,38442,08/09/2024,Hacking/IT Incident,Email,No,
"The Facial Pain Center, PLLC dba The Facial Pain Center",MN,Healthcare Provider,1894,08/09/2024,Hacking/IT Incident,Email,No,
"PDG, P.A. dba Park Dental",MN,Healthcare Provider,238667,08/09/2024,Hacking/IT Incident,Email,No,
Pemiscot Memorial Health System,MO,Healthcare Provider,33279,08/09/2024,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Internal Medicine Associates, LLC d/b/a Gastrointestinal Medicine Associates",RI,Healthcare Provider,31835,08/07/2024,Hacking/IT Incident,Network Server,No,
" Pocahontas Medical Clinic, PA",AR,Healthcare Provider,31216,08/06/2024,Hacking/IT Incident,Network Server,No,
Hamilton-Madison House,NY,Healthcare Provider,1114,08/02/2024,Hacking/IT Incident,Network Server,No,
"Calibrated Healthcare, LLC",CA,Business Associate,6890,08/02/2024,Hacking/IT Incident,Network Server,Yes,
Alabama Cardiovascular Group,AL,Healthcare Provider,280534,08/02/2024,Hacking/IT Incident,Network Server,No,
Wayne Memorial Hospital,GA,Healthcare Provider,2500,08/02/2024,Hacking/IT Incident,Network Server,No,
Fraser Child and Family Center ,MN,Healthcare Provider,64131,08/02/2024,Hacking/IT Incident,Network Server,No,
Roseland Community Hospital Association,IL,Healthcare Provider,500,08/01/2024,Hacking/IT Incident,Network Server,No,
Frilot L.L.C.,LA,Business Associate,501,08/01/2024,Hacking/IT Incident,Network Server,Yes,
Deer Oaks Behavioral Health ,TX,Healthcare Provider,171871,07/31/2024,Hacking/IT Incident,Network Server,No,
"Special Health Resources of Texas, Inc.",TX,Healthcare Provider,500,07/30/2024,Hacking/IT Incident,Network Server,No,
Delta County Memorial Hospital District (Delta Health),CO,Healthcare Provider,501,07/29/2024,Hacking/IT Incident,Network Server,No,
United of Omaha Life Insurance Company,NE,Health Plan,107894,07/26/2024,Hacking/IT Incident,Email,No,
University of Alabama at Birmingham School of Nursing,AL,Healthcare Provider,1655,07/26/2024,Unauthorized Access/Disclosure,Paper/Films,No,
"South Western Communications, Inc.",IN,Health Plan,1115,07/26/2024,Hacking/IT Incident,Network Server,No,
NeighborHealth,MA,Healthcare Provider,526,07/26/2024,Unauthorized Access/Disclosure,Paper/Films,No,
Surgery Center of Mid Florida,FL,Healthcare Provider,48684,07/24/2024,Hacking/IT Incident,Network Server,No,
Sutton Dental Arts,OR,Healthcare Provider,4109,07/22/2024,Hacking/IT Incident,Network Server,No,
"EMS Department for the Kansas City, Kansas Fire Department   ",KS,Healthcare Provider,501,07/20/2024,Hacking/IT Incident,Network Server,No,
Barrett Eye Care,IN,Healthcare Provider,4318,07/19/2024,Hacking/IT Incident,Network Server,No,
"Sun City Pediatrics, PA",TX,Healthcare Provider,4500,07/19/2024,Hacking/IT Incident,Network Server,No,
"Franklin County, Kansas",KS,Healthcare Provider,501,07/19/2024,Hacking/IT Incident,Network Server,No,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,56953,07/19/2024,Hacking/IT Incident,Email,No,
"Change Healthcare, Inc.",MN,Business Associate,190000000,07/19/2024,Hacking/IT Incident,Network Server,Yes,
"Imagine360, LLC",PA,Business Associate,6926,07/17/2024,Unauthorized Access/Disclosure,Email,Yes,
The North Cottage Program,MA,Healthcare Provider,8190,07/15/2024,Hacking/IT Incident,Network Server,No,
Hospital Auxilio Mutuo ,,Healthcare Provider,500,07/13/2024,Hacking/IT Incident,Network Server,No,
Fairfax Radiological Consultants ,VA,Healthcare Provider,3512,07/12/2024,Hacking/IT Incident,Network Server,No,
"Johnson & Associates, Inc.",MT,Business Associate,4600,07/10/2024,Hacking/IT Incident,Other,Yes,
"Meridian Internal Medicine, P.A.",NC,Healthcare Provider,2656,07/10/2024,Hacking/IT Incident,Network Server,No,
"Smith, Gambrell & Russell LLP",GA,Business Associate,3370,07/09/2024,Hacking/IT Incident,Network Server,Yes,
"The Medibase Group, Inc.  ",GA,Business Associate,117957,07/05/2024,Hacking/IT Incident,Network Server,Yes,
"Butler Health Plan, SW Division of OHI",OH,Health Plan,5911,07/05/2024,Hacking/IT Incident,Network Server,Yes,
School Employees' Benefit Trust,IN,Health Plan,1371,07/05/2024,Hacking/IT Incident,Network Server,Yes,
Palomar Health Medical Group,CA,Healthcare Provider,501,07/03/2024,Hacking/IT Incident,Network Server,No,
Ascension Health,MO,Healthcare Provider,5466931,07/03/2024,Hacking/IT Incident,Network Server,No,
Patented Acquisition Corporation,OH,Business Associate,12787,07/03/2024,Hacking/IT Incident,Network Server,Yes,
DaVita Inc.,CO,Healthcare Provider,67443,07/03/2024,Unauthorized Access/Disclosure,Network Server,No,
"Atlanta Perinatal Consultants, LLP",GA,Healthcare Provider,1508,07/02/2024,Hacking/IT Incident,Network Server,Yes,
Regional Obstetrical Consultants PC,TN,Healthcare Provider,25650,07/02/2024,Hacking/IT Incident,Network Server,No,
Core Dental Health,TN,Healthcare Provider,2349,07/01/2024,Hacking/IT Incident,"Email, Network Server",No,
"Georgia Kidney Associates, Inc.",GA,Healthcare Provider,9940,06/28/2024,Theft,Other,No,
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,775860,06/27/2024,Hacking/IT Incident,Network Server,No,
Mayfield Dental Arts LLC,OH,Healthcare Provider,3318,06/26/2024,Theft,Laptop,No,
Providence Mission Heritage Endocrinology,CA,Healthcare Provider,2000,06/26/2024,Unauthorized Access/Disclosure,Desktop Computer,No,
"Kairos Health Arizona, Inc.",AZ,Business Associate,14364,06/26/2024,Unauthorized Access/Disclosure,Network Server,Yes,
"MD Now Medical Centers, Inc. ",FL,Healthcare Provider,500,06/25/2024,Hacking/IT Incident,Network Server,No,
Geisinger,PA,Healthcare Provider,1276026,06/21/2024,Unauthorized Access/Disclosure,Network Server,Yes,
Altoona Logan Township Mobile Medical Emergency Department Authority,PA,Healthcare Provider,6169,06/21/2024,Hacking/IT Incident,Network Server,No,
Texas Retina Associates,TX,Healthcare Provider,312867,06/21/2024,Hacking/IT Incident,Network Server,No,
"The Lash Group, LLC",PA,Business Associate,15196,06/21/2024,Hacking/IT Incident,Network Server,Yes,
Wisconsin Department of Health Services ,WI,Healthcare Provider,19150,06/21/2024,Hacking/IT Incident,Network Server,Yes,
"Mobile Medical Response, Inc.",MI,Healthcare Provider,700,06/21/2024,Theft,Paper/Films,Yes,
Carroll County Memorial Hospital,MO,Healthcare Provider,7021,06/18/2024,Hacking/IT Incident,Email,No,
Radiology and Imaging Specialists,FL,Healthcare Provider,37210,06/17/2024,Hacking/IT Incident,Email,No,
OB GYN Specialists of Lima Inc,OH,Healthcare Provider,1241,06/17/2024,Improper Disposal,Paper/Films,No,
"Neurobehavioral Medicine Consultants, P.C.",OH,Healthcare Provider,18182,06/14/2024,Hacking/IT Incident,Network Server,No,
Walmart Inc.,AR,Healthcare Provider,1267,06/14/2024,Unauthorized Access/Disclosure,Network Server,No,
Consulting Radiologists LTD.,MN,Healthcare Provider,583824,06/14/2024,Hacking/IT Incident,Network Server,No,
IBEW LOCAL 236 WELFARE FUND,CT,Health Plan,3217,06/11/2024,Hacking/IT Incident,Network Server,Yes,
WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND,PA,Health Plan,1061,06/11/2024,Hacking/IT Incident,Network Server,Yes,
ASBESTOS WORKERS LOCAL 42 WELFARE PLAN,GA,Health Plan,520,06/11/2024,Hacking/IT Incident,Network Server,Yes,
"Signature Performance, Inc.",NE,Business Associate,106540,06/10/2024,Hacking/IT Incident,Network Server,Yes,
"CRG Lynwood, LLC, d/b/a Lynwood Manor ",MI,Healthcare Provider,6566,06/10/2024,Hacking/IT Incident,Network Server,No,
Community Alliance Rehabilitation Services,NE,Healthcare Provider,10750,06/07/2024,Hacking/IT Incident,Network Server,No,
"Best Health Physical Therapy, LLC        ",CT,Healthcare Provider,3764,06/06/2024,Hacking/IT Incident,"Network Server, Other",No,
Insurance ACE/Humana Inc.,KY,Health Plan,15003,06/05/2024,Unauthorized Access/Disclosure,Paper/Films,No,
Panorama Eyecare,CO,Healthcare Provider,377911,06/05/2024,Hacking/IT Incident,Network Server,No,
"Angels Neurological Centers, P.C.",MA,Healthcare Provider,934,06/05/2024,Hacking/IT Incident,Electronic Medical Record,No,
